Tweet_index	Tweet_text	Label
622241795007737856	be aware dirty step to get money # stay light * # stay white * # sarcastic * # moral needed * @…	1
622918094881689600	# sarcasm * for # people * who do not understand # diy * # art attack *	1
622900014122180608	@ username @ @ username @ # daily mail * readers being sensible as always # shocker * # sarcastic * # daily fail * # in hunts pocket * # they hate the nhs *	1
622992067388682241	@ username @ why do i get the feeling you like games? # sarcasm *	1
622777695189872640	- @ username @ @ username @ you probably just missed the text. # sarcastic *	1
623064222021341184	tune in to nigezie and be treated to rachel platten's fight song, move to mtv and get reminisce & olamide's local rapper # irony * # times change *	1
622964186943918080	what iz thiz?!?!? a friggin dc love fest??!?!? @ username @ @ username @ # sarcasm * # movie fights *	1
622939133577527296	man, i wish i could sexually harass an intoxicated minor and not go to jail # sarcasm *	1
622964179192967168	@ username @ for the car ride when i get to listen to you and jess the whole time? yeah woo cannot wait either. # sarcasm *	1
623018133796683776	aamir calls # baj rang i bhai j a an * as salman's best movie yet! you decide whether it is # sarcasm * or a compliment!	1
623007729766903809	@ username @ sorry you cannot understand my # dark * sense of humor... # sarcasm *	1
622996067609628672	# work * # yay * # sarcasm * # fuck * # goodnight * 😔 @ g town	1
622924179562586112	@ username @ come on..it is against the mets....that is like a loss to a double a team at the best # sarcasm *	1
622886044971745280	@ username @ @ username @ i thought hot spot policing was a plan?? (which btw is really working out) # sarcasm *	1
623080201174523904	@ username @ @ username @ do not be daft dr ciara. measles does not kill, its an old fashioned disease. like scurvy! and trench foot! # sarcasm *	1
622454925784551424	i do not think any tv show could be more # epic * than # master showman * this show is the bees knees!! # sarcastic *	1
623060007009959936	here we go another day in paradise # sarcasm *	1
622887234144858112	@ username @ @ username @ sure does... # sarcasm *	1
622921466720440320	my jobs great because i love what i do (operate rides for kids) and sometimes if the weather's right, i get a shower too!! # rain * # sarcasm *	1
622999835101282304	quotestags_app # funny quotes * # insult * # sarcastic quotes * # sarcasm * # quote * # quotes tags *	1
623083588049870848	loving the @ username @ coverage of # the open * # sarcasm *	1
622920051142701056	did strop just pitch around a double with the game on the line? i could not tell because i was paying attention to his hat. # sarcasm * # cubs *	1
622805321619128320	you keep them close to see what they are up to...😬🙊 # sarcastic * # sassy *	1
622929040987541504	@ username @ thanks for giving my personal information and whereabouts out. your security protocols are really great! thanks again. # sarcasm *	1
